17698;-0.29
17713;0.09
17728;0.54
17743;0.98
17758;1.34
17773;1.54
17789;1.57
17804;1.43
17819;1.17
17834;0.85
17850;0.53
17865;0.25
17881;0.01
17896;-0.17
17911;-0.30
17927;-0.37
17942;-0.38
17958;-0.32
17974;-0.17
17989;0.05
18005;0.36
18020;0.74
18036;1.18
18052;1.63
18068;2.05
18083;2.41
18099;2.65
18115;2.74
18131;2.69
18147;2.49
18162;2.19
18178;1.86
18194;1.55
18210;1.29
18226;1.12
18242;1.03
18258;1.00
18274;1.03
18291;1.11
18307;1.27
18323;1.56
18339;2.02
18355;2.67
18372;3.52
18388;4.56
18404;5.76
18421;7.09
18437;8.54
18453;10.12
18470;11.83
18486;13.72
18503;15.81
18519;18.14
18536;20.74
18552;23.62
18569;26.78
18586;30.21
18602;33.87
18619;37.66
18636;41.44
18652;45.02
18669;48.17
18686;50.68
18703;52.37
18720;53.12
18737;52.89
18754;51.76
18771;49.82
18788;47.24
18805;44.15
18822;40.70
18839;37.00
18856;33.16
18873;29.32
18890;25.59
18907;22.12
18925;19.01
18942;16.32
18959;14.06
18977;12.21
18994;10.74
19011;9.61
19029;8.77
19046;8.19
19064;7.82
19081;7.61
19099;7.50
19117;7.40
19134;7.26
19152;7.00
19170;6.59
19187;6.02
19205;5.31
19223;4.51
19241;3.71
19259;3.00
19276;2.45
19294;2.11
19312;1.99
19330;2.05
19348;2.24
19366;2.49
19385;2.73
19403;2.93
19421;3.07
19439;3.17
19457;3.25
19476;3.32
19494;3.41
19512;3.50
19531;3.56
19549;3.54
19567;3.40
19586;3.13
19604;2.73
19623;2.24
19642;1.70
19660;1.19
19679;0.76
